11111111	1.5245093107
11110111	1.3898062706
11111011	1.4402881861
11111110	1.4490357637
11101111	1.4568009377
11111101	1.3862899542
11101011	1.3122934103
11111100	1.3645346165
11100111	1.344499588
11111010	1.2653003931
11101101	1.3271615505
11110101	1.351742506
11110110	1.2835532427
11101110	1.3432877064
11110011	1.2821369171
11111001	1.3067059517
11100101	1.1447259188
11101001	1.219113946
11110001	1.1251606941
11110100	1.2024741173
11100110	1.1970971823
11101100	1.2156658173
11110010	1.1357588768
11111000	1.2168642282
11100011	1.1710567474
11101010	1.2082825899
11100100	1.0668545961
11100010	1.0683138371
11110000	1.0725069046
11100001	1.0010066032
11101000	1.0618095398
11100000	0.449164778
