[8.8900000e+02 8.3771924e-01]	[28 29 29  4 33  0  5  0 47]
[8.83000000e+02 8.43840801e-01]	[28 29 29  4 39  0  5  0 46]
[9.30000000e+02 7.52200849e-01]	[28 28 22  0 39  0  5  0 44]
[758.           1.21009313]	[28 63 29 44 56 50 29  0 13]
[786.           1.04950985]	[28 33 28  4 39  4 26  0 36]
[781.           1.06000711]	[28 29 36  4 39  4 33  0 46]
[8.88000000e+02 8.43840412e-01]	[28 29 29  4 39  0  5  0 45]
[848.           0.92825037]	[28 26 29  0 33  4  5  0 44]
[9.03000000e+02 8.36655494e-01]	[28 29 22  4 33  0  5  0 47]
[761.           1.11514247]	[28 33 28 52 39 12 25  0 46]
[856.          0.9282452]	[28 26 29  0 33  4  5  0 43]
[9.28000000e+02 7.52214646e-01]	[28 28 22  0 39  0  5  0 53]
[8.80000000e+02 8.78863317e-01]	[28 29 29  4 53  0 31  0 47]
[813.           0.95282646]	[28 33 28  0 33  4 26  0 42]
[9.20000000e+02 7.84779068e-01]	[28 57 29  0 39  0 31  0 45]
[806.           0.95627909]	[28 29 22  0 39  4 29  0 49]
[767.           1.09348732]	[28 33 28 52 39 12  5  0 46]
[811.           0.95283202]	[28 33 28  0 33  4 26  0 47]
[9.37000000e+02 7.47058899e-01]	[28 26 29  0 33  0  5  0 31]
[8.81000000e+02 8.67097304e-01]	[28 29 29  4 39  0 31  0 47]
[841.           0.92902117]	[28 33 22  0 33  4  5  0 44]
[828.           0.93008492]	[28 33 28  0 33  4  5  0 45]
[805.           0.95913719]	[28 33 28  0 39  4 29  0 50]
[9.09000000e+02 7.87755238e-01]	[28 22 29  0 53  0 31  0 45]
[9.24000000e+02 7.77801562e-01]	[28 33 28  0 39  0 27  0 45]
[9.32000000e+02 7.47093565e-01]	[28 26 29  0 33  0  5  0 43]
[9.07000000e+02 7.88287111e-01]	[28 29 29  0 53  0 31  0 45]
[791.           1.04685491]	[28 29 22  4 39  4 29  0 49]
[797.           1.03652512]	[28 33 29  0 39 12  5  2 45]
