Reference accuracy = 9148
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000101	 RangeCorrection:False	 Correct: 832	 Accuracy: 0.0832
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000101	 RangeCorrection:True	 Correct: 1159	 Accuracy: 0.1159
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000100	 RangeCorrection:False	 Correct: 832	 Accuracy: 0.0832
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000100	 RangeCorrection:True	 Correct: 774	 Accuracy: 0.0774
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000011	 RangeCorrection:False	 Correct: 830	 Accuracy: 0.083
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000011	 RangeCorrection:True	 Correct: 757	 Accuracy: 0.0757
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000010	 RangeCorrection:False	 Correct: 830	 Accuracy: 0.083
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000010	 RangeCorrection:True	 Correct: 1065	 Accuracy: 0.1065
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000001	 RangeCorrection:False	 Correct: 830	 Accuracy: 0.083
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000001	 RangeCorrection:True	 Correct: 2730	 Accuracy: 0.273
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000000	 RangeCorrection:False	 Correct: 878	 Accuracy: 0.0878
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 11000000	 RangeCorrection:True	 Correct: 9121	 Accuracy: 0.9121
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10111000	 RangeCorrection:False	 Correct: 1209	 Accuracy: 0.1209
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10111000	 RangeCorrection:True	 Correct: 1034	 Accuracy: 0.1034
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10110100	 RangeCorrection:False	 Correct: 1023	 Accuracy: 0.1023
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10110100	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10110010	 RangeCorrection:False	 Correct: 1037	 Accuracy: 0.1037
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10110010	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10110001	 RangeCorrection:False	 Correct: 1033	 Accuracy: 0.1033
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10110001	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10110000	 RangeCorrection:False	 Correct: 1098	 Accuracy: 0.1098
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10110000	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10101100	 RangeCorrection:False	 Correct: 1047	 Accuracy: 0.1047
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10101100	 RangeCorrection:True	 Correct: 1036	 Accuracy: 0.1036
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10101010	 RangeCorrection:False	 Correct: 1040	 Accuracy: 0.104
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10101010	 RangeCorrection:True	 Correct: 1041	 Accuracy: 0.1041
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10101001	 RangeCorrection:False	 Correct: 1039	 Accuracy: 0.1039
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10101001	 RangeCorrection:True	 Correct: 1037	 Accuracy: 0.1037
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10101000	 RangeCorrection:False	 Correct: 1039	 Accuracy: 0.1039
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10101000	 RangeCorrection:True	 Correct: 1039	 Accuracy: 0.1039
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100110	 RangeCorrection:False	 Correct: 1107	 Accuracy: 0.1107
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100110	 RangeCorrection:True	 Correct: 1009	 Accuracy: 0.1009
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100101	 RangeCorrection:False	 Correct: 1261	 Accuracy: 0.1261
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100101	 RangeCorrection:True	 Correct: 1066	 Accuracy: 0.1066
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100100	 RangeCorrection:False	 Correct: 1070	 Accuracy: 0.107
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100100	 RangeCorrection:True	 Correct: 1055	 Accuracy: 0.1055
