QUANT_MODE parameter analysis 
Swing parameters: mask_type - mask - correctRange 
Total cases: 980	 Total accuracy = sum[for i in range(Total cases)](accuracy_i) - Min
	Masking type: SYMMETRIC	 Winning count: 93	 Total accuracy: 1.075 (Min: 102.334)
	Masking type: ASYMMETRIC_UNSIGNED	 Winning count: 66	 Total accuracy: 0.009 (Min: 102.334)
	Masking type: ASYMMETRIC_SIGNED	 Winning count: 52	 Total accuracy: 0.000 (Min: 102.334)


MASK_TYPE parameter analysis 
Swing parameters: quant_mode - mask - correctRange 
Total cases: 588	 Total accuracy = sum[for i in range(Total cases)](accuracy_i) - Min
	Masking type: SIMPLE_MASK	 Winning count: 31	 Total accuracy: 0.000 (Min: 59.372)
	Masking type: ROUND_DOWN	 Winning count: 76	 Total accuracy: 0.185 (Min: 59.372)
	Masking type: ROUND_UP	 Winning count: 27	 Total accuracy: 2.079 (Min: 59.372)
	Masking type: MOD_ROUND_UP	 Winning count: 47	 Total accuracy: 4.633 (Min: 59.372)
	Masking type: MINIMUM_DISTANCE	 Winning count: 55	 Total accuracy: 4.330 (Min: 59.372)


MASK parameter analysis 
Swing parameters: quant_mode - mask_type - correctRange 
Total cases: 30	 Total accuracy = sum[for i in range(Total cases)](accuracy_i) - Min
	Masking type: 00101000	 Winning count: 0	 Total accuracy: 0.108 (Min: 2.876)
	Masking type: 00100111	 Winning count: 0	 Total accuracy: 0.087 (Min: 2.876)
	Masking type: 00100110	 Winning count: 0	 Total accuracy: 0.094 (Min: 2.876)
	Masking type: 00100101	 Winning count: 0	 Total accuracy: 0.084 (Min: 2.876)
	Masking type: 00100100	 Winning count: 0	 Total accuracy: 0.039 (Min: 2.876)
	Masking type: 00100011	 Winning count: 0	 Total accuracy: 0.077 (Min: 2.876)
	Masking type: 00100010	 Winning count: 0	 Total accuracy: 0.031 (Min: 2.876)
	Masking type: 00100001	 Winning count: 0	 Total accuracy: 0.000 (Min: 2.876)
	Masking type: 00100000	 Winning count: 0	 Total accuracy: 0.004 (Min: 2.876)
	Masking type: 00011110	 Winning count: 0	 Total accuracy: 0.104 (Min: 2.876)
	Masking type: 00011101	 Winning count: 0	 Total accuracy: 0.084 (Min: 2.876)
	Masking type: 00011100	 Winning count: 0	 Total accuracy: 0.118 (Min: 2.876)
	Masking type: 00011011	 Winning count: 0	 Total accuracy: 0.099 (Min: 2.876)
	Masking type: 00011010	 Winning count: 0	 Total accuracy: 0.100 (Min: 2.876)
	Masking type: 00011001	 Winning count: 0	 Total accuracy: 0.113 (Min: 2.876)
	Masking type: 00011000	 Winning count: 0	 Total accuracy: 0.094 (Min: 2.876)
	Masking type: 00010111	 Winning count: 0	 Total accuracy: 0.086 (Min: 2.876)
