[1.36900000e+03 5.98005373e-01]	[28  0  0  0 22  0 25  0  1]
[747.           1.26837301]	    [52 53 54 12 39 38 38 10 10]
[1.28600000e+03 5.99715612e-01]	[50  0  0  0 22  0 25  0  1]
[783.           1.08817429]	    [52 33 58  0 39 38 28 10  7]
[1.06600000e+03 6.81450067e-01]	[28  4  0  0 32  0 25  0  1]
[774.           1.12997765]	    [52 53 15 12 32 11 28  0 27]
[869.           0.91732685]	    [51 14 11  0 29 10 25  0  0]
[1.23200000e+03 6.05766652e-01]	[29  0  0  0 32  0 25  0  1]
[8.74000000e+02 8.68639854e-01]	[52 33  0  0 33 10 38  0  1]
[765.           1.15547088]	    [52 53 15 10 33 11 28 10 27]
[1.27400000e+03 6.05489998e-01]	[29  0  0  0 32  0 22  0  5]
[9.86000000e+02 7.08550621e-01]	[52 33  0  0 32  0 25  0  1]
[1.19000000e+03 6.08354228e-01]	[57  0  0  0 32  0 25  0  1]
[787.          1.0437697]	    [53 53 52  0 39 11 33 13 26]
[762.           1.18732567]	    [52 33 51 12 33 10 38 10 10]
[1.17800000e+03 6.40413659e-01]	[33  0  0  0 32  0 25  2  1]
[1.11800000e+03 6.81173413e-01]	[28  4  0  0 32  0 22  0  4]
[751.           1.24744203]	    [52 33 52 12 39 39 28 10  7]
[9.1000000e+02 8.0232935e-01]	[53 12 11  0 33  0 25  2  1]
[848.           0.92234376]	    [52 12 11  0 33 10 25  0 12]
[9.83000000e+02 7.50205943e-01]	[28 33  0  0 39  0 25 11  1]
[1.00200000e+03 7.06588424e-01]	[28 32  0  0 32  0 25  0  1]
[9.1800000e+02 7.6869935e-01]	[53 12 11  0 33  0 27  0  1]
[1.17300000e+03 6.50763622e-01]	[57  0  0  0 32  0 25 14  1]
[1.02300000e+03 6.92547637e-01]	[52 14  0  0 32  0 25  0  1]
[808.           0.96268465]	    [52 33 12  0 33 12 33  0 10]
[1.2040000e+03 6.0642085e-01]	[33  0  0  0 32  0 25  0 17]
[1.15900000e+03 6.73688788e-01]	[28  4  0  0 22  0 25  0  1]
[8.98000000e+02 8.34736676e-01]	[53 48 11  0 32  0 25 11  1]
[754.           1.21194954]	    [52 33 52 12 39 38 32  0 22]
[807.           0.99662796]	    [51 53 52  0 33 11 33  0  6]
[9.02000000e+02 8.10100818e-01]	[53 12 11  0 33  0 25 13 27]
[799.           1.02915483]	    [52 33 54  0 39 11 33 13  1]
[9.30000000e+02 7.68243305e-01]	[53 12 11  0 33  0 25  0  1]
[1.0460000e+03 6.9058544e-01]	[28 14  0  0 32  0 25  0  1]
[827.           0.92964179]	    [53 14 11  0 32 10 39  0  0]
[8.87000000e+02 8.62560461e-01]	[52 33  0  0 32 10 25  0  1]
[800.           0.99978904]	    [53 53 54  0 33 11 38  0  0]
[815.           0.95478991]	    [52 33 12  0 39 10 33  0  9]
[1.12200000e+03 6.81091291e-01]	[28  4  0  0 32  0 22  0  0]
[8.92000000e+02 8.46670208e-01]	[58 54 12  0 32  0 25 11  1]
[9.72000000e+02 7.50288937e-01]	[28 33  0  0 39  0 25 11  9]
[822.           0.93745566]	    [53 14 14  0 33 10 38  0  0]
[1.15000000e+03 6.75722952e-01]	[51  2  0  0 32  0 25  0  3]
[9.5200000e+02 7.6087323e-01]	[52  4 11  0 33  0 27  0  1]
[758.           1.20895774]	    [52 33 52 12 39 38 28  0 22]
[9.56000000e+02 7.60417184e-01]	[53  4 11  0 33  0 25  0  1]
[797.          1.0418377]	    [52 33 53  0 39 39 29  0  1]
[1.03600000e+03 6.92295679e-01]	[51 14  0  0 32  0 25  0  1]
[750.           1.26793862]	    [52 53 52 12 39 38 38 10 10]
