[767.           1.22119291]	[54 54 45 63 52 22 61  0 46]
[1.08600000e+03 9.01878341e-01]	[58 63  0  0 38 10 13  0  4]
[9.1300000e+02 9.0687674e-01]	[58 59  0  0 38 13 10  0 11]
[784.           1.12680839]	[59 62 22 53 38 22 10  0 30]
[868.           0.95187198]	[58 59  4  0 37 15 10  0  4]
[791.           1.06943001]	[59 29 33  0 58 22 62  0 38]
[782.           1.17117401]	[59 29  4 59 39 22 61  0 48]
[773.           1.18621645]	[59 29 32 59 39 22 61  0 48]
[799.           1.03110011]	[59 29 33  0 33 22 58  0 37]
[795.           1.05823826]	[59 29 33  0 58 22 59  0 23]
[768.           1.21003461]	[54 54 45 58 52 22 61  0 46]
[808.           1.01394161]	[59 62 33  0 59 22 10  0 23]
[811.           0.99041104]	[59 59 29  0 39 26 10  0 17]
[807.          1.0217596]	[59 62 33  0 59 22 12  0 38]
[814.           0.98224257]	[62 62 23  0 33 22 10  0 14]
[848.           0.96539413]	[59 62 22  0 38 13 10  0 23]
[908.           0.90966288]	[58 62  0  0 38 13 10  0  4]
[813.           0.98651041]	[59 59 29  0 39 22 10  0 17]
[791.           1.06943001]	[59 29 33  0 59 22 62  0 38]
[895.           0.91465785]	[58 59  0  0 38 13 12  0  4]
[855.           0.95187542]	[58 59  4  0 37 15 10  0 10]
[825.           0.97639664]	[58 62 13  0 33 22 10  0 14]
[9.55000000e+02 9.01883511e-01]	[56 62  0  0 39 10 12  0 12]
[839.           0.96636928]	[59 62 26  0 39 13 10  0 23]
