Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [20000/50000 (40%)]	Loss: 1.380772	Accuracy: 0.56
Train Epoch: 3 [22500/50000 (45%)]	Loss: 1.125695	Accuracy: 0.56
Train Epoch: 3 [25000/50000 (50%)]	Loss: 1.253202	Accuracy: 0.56
Train Epoch: 3 [27500/50000 (55%)]	Loss: 1.135342	Accuracy: 0.6
Train Epoch: 3 [30000/50000 (60%)]	Loss: 0.956248	Accuracy: 0.64
Train Epoch: 3 [32500/50000 (65%)]	Loss: 1.040348	Accuracy: 0.64
Train Epoch: 3 [35000/50000 (70%)]	Loss: 1.195539	Accuracy: 0.64
Train Epoch: 3 [37500/50000 (75%)]	Loss: 1.474562	Accuracy: 0.52
Train Epoch: 3 [40000/50000 (80%)]	Loss: 1.220791	Accuracy: 0.54
Train Epoch: 3 [42500/50000 (85%)]	Loss: 1.054953	Accuracy: 0.62
Train Epoch: 3 [45000/50000 (90%)]	Loss: 1.210618	Accuracy: 0.64
Train Epoch: 3 [47500/50000 (95%)]	Loss: 1.399354	Accuracy: 0.58

Test set: Epoch: 3 Average loss: 4.1942, Accuracy: 5882/10000 (59%)

Best acc:58.82

Train Epoch: 4 [0/50000 (0%)]	Loss: 1.383330	Accuracy: 0.48
Train Epoch: 4 [2500/50000 (5%)]	Loss: 1.152399	Accuracy: 0.64
Train Epoch: 4 [5000/50000 (10%)]	Loss: 0.891174	Accuracy: 0.62
Train Epoch: 4 [7500/50000 (15%)]	Loss: 1.149177	Accuracy: 0.58
Train Epoch: 4 [10000/50000 (20%)]	Loss: 1.001271	Accuracy: 0.58
Train Epoch: 4 [12500/50000 (25%)]	Loss: 1.188166	Accuracy: 0.6
Train Epoch: 4 [15000/50000 (30%)]	Loss: 0.753322	Accuracy: 0.76
Train Epoch: 4 [17500/50000 (35%)]	Loss: 0.684173	Accuracy: 0.76
Train Epoch: 4 [20000/50000 (40%)]	Loss: 1.142223	Accuracy: 0.56
Train Epoch: 4 [22500/50000 (45%)]	Loss: 0.982495	Accuracy: 0.64
Train Epoch: 4 [25000/50000 (50%)]	Loss: 0.937944	Accuracy: 0.6
Train Epoch: 4 [27500/50000 (55%)]	Loss: 0.840479	Accuracy: 0.66
Train Epoch: 4 [30000/50000 (60%)]	Loss: 1.183000	Accuracy: 0.52
Train Epoch: 4 [32500/50000 (65%)]	Loss: 1.045725	Accuracy: 0.64
Train Epoch: 4 [35000/50000 (70%)]	Loss: 1.338040	Accuracy: 0.46
Train Epoch: 4 [37500/50000 (75%)]	Loss: 1.113865	Accuracy: 0.68
Train Epoch: 4 [40000/50000 (80%)]	Loss: 1.201744	Accuracy: 0.56
Train Epoch: 4 [42500/50000 (85%)]	Loss: 1.030778	Accuracy: 0.6
Train Epoch: 4 [45000/50000 (90%)]	Loss: 0.971432	Accuracy: 0.64
Train Epoch: 4 [47500/50000 (95%)]	Loss: 1.117654	Accuracy: 0.64

Test set: Epoch: 4 Average loss: 9.0904, Accuracy: 4569/10000 (46%)

Best acc:58.82

Train Epoch: 5 [0/50000 (0%)]	Loss: 1.091239	Accuracy: 0.62
Train Epoch: 5 [2500/50000 (5%)]	Loss: 0.863504	Accuracy: 0.74
Train Epoch: 5 [5000/50000 (10%)]	Loss: 0.969254	Accuracy: 0.62
Train Epoch: 5 [7500/50000 (15%)]	Loss: 1.124275	Accuracy: 0.62
Train Epoch: 5 [10000/50000 (20%)]	Loss: 0.913775	Accuracy: 0.68
Train Epoch: 5 [12500/50000 (25%)]	Loss: 0.969162	Accuracy: 0.52
Train Epoch: 5 [15000/50000 (30%)]	Loss: 1.081137	Accuracy: 0.6
Train Epoch: 5 [17500/50000 (35%)]	Loss: 0.886428	Accuracy: 0.72
Train Epoch: 5 [20000/50000 (40%)]	Loss: 0.992010	Accuracy: 0.64
Train Epoch: 5 [22500/50000 (45%)]	Loss: 0.781338	Accuracy: 0.74
Train Epoch: 5 [25000/50000 (50%)]	Loss: 1.078277	Accuracy: 0.64
Train Epoch: 5 [27500/50000 (55%)]	Loss: 0.837479	Accuracy: 0.76
Train Epoch: 5 [30000/50000 (60%)]	Loss: 0.997745	Accuracy: 0.68
Train Epoch: 5 [32500/50000 (65%)]	Loss: 1.153723	Accuracy: 0.6
